film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
Flatliners,673469,"Flatliners is a 1990 American psychological horror film directed by Joel Schumacher, produced by Michael Douglas and Rick Bieber, and written by Peter Filardi. It stars Kiefer Sutherland, Julia Roberts, William Baldwin, Oliver Platt, and Kevin Bacon. The film is about five medical students who attempt to find out what lies beyond death by conducting clandestine experiments that produce near-death experiences. The film was shot on the campus of Loyola University (Chicago) between October 1989 and January 1990, and was nominated for an Academy Award for Best Sound Editing in 1990 (Charles L. Campbell and Richard C. Franklin). The film was theatrically released on August 10, 1990, by Columbia Pictures. It grossed $61 million at the box office.",--Julia Roberts--Kevin Bacon--Kiefer Sutherland--Oliver Platt--William Baldwin,Flatliners,1990 drama films-1990 films-1990 horror films-1990s psychological drama films-1990s psychological thriller films-1990s science fiction films-American films-American psychological drama films-American psychological horror films-American psychological thriller films-American science fiction films-American supernatural horror films-American supernatural thriller films-American thriller drama films-Columbia Pictures films-English-language films-Films about Christianity-Films about bullying-Films about death-Films directed by Joel Schumacher-Films produced by Michael Douglas-Films scored by James Newton Howard-Films set in Chicago-Films set in universities and colleges-Films shot in Chicago-Medical-themed films-Near-death experiences in fiction,Jan de Bont,Joel Schumacher,6.15E7,Joel Schumacher,English
Gremlins 2: The New Batch,1323106,"Gremlins 2: The New Batch is a 1990 American comedy horror film, and the sequel to the 1984 film Gremlins. It was directed by Joe Dante and written by Charles S. Haas, with creature designs by Rick Baker. Zach Galligan, Phoebe Cates, Dick Miller, Jackie Joseph, and Keye Luke reprise their roles from the first film. New cast members include John Glover, Robert Prosky, Haviland Morris, Robert Picardo, and Christopher Lee; additionally, the film features Tony Randall providing the voice for one of the gremlins. The story continues the adventures of the creature Gizmo (once again voiced by Howie Mandel), who spawns numerous small monsters when wet. In the first film, Gizmo's offspring rampaged through a small fictional town. In Gremlins 2: The New Batch, Gizmo multiplies within a skyscraper i",--Christopher Lee--John Glover--Phoebe Cates--Robert J. Prosky--Robert Picardo--Zach Galligan,Gremlins 2: The New Batch,1990 comedy films-1990 films-1990 horror films-1990s comedy horror films-1990s monster movies-1990s science fiction horror films-Amblin Entertainment films-American comedy horror films-American dark fantasy films-American films-American monster movies-American science fiction horror films-American sequel films-English-language films-Films about gremlins-Films directed by Joe Dante-Films featuring Daffy Duck-Films featuring Porky Pig-Films featuring puppetry-Films scored by Jerry Goldsmith-Films set in New York City-Films using stop-motion animation-Films with live action and animation-Gremlins (franchise)-Warner Bros. films-ZX Spectrum games,John Hora,Joe Dante,4.15E7,Joe Dante,English
Tremors (1990 film),433414,"Tremors is a 1990 American western-themed monster horror comedy film directed by Ron Underwood, produced by Brent Maddock, and S. S. Wilson, and written by Maddock, Wilson, and Underwood. Tremors was released by Universal Pictures and stars Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, and Reba McEntire.",--Finn Carter--Fred Ward--Kevin Bacon--Michael Gross--Reba McEntire,Tremors,1990 action thriller films-1990 comedy films-1990 directorial debut films-1990 films-1990 horror films-1990s comedy horror films-1990s monster movies-1990s science fiction films-American comedy horror films-American films-American monster movies-American science fiction comedy films-American science fiction films-American science fiction horror films-English-language films-Films adapted into television shows-Films directed by Ron Underwood-Films produced by Gale Anne Hurd-Films scored by Robert Folk-Films set in Nevada-Films set in deserts-Films shot in California-Giant monster films-Tremors (franchise)-Universal Pictures films,Alexander Gruszynski,Ron Underwood,1.67E7,Ron Underwood,English
Brain Dead (1990 film),11923262,"Brain Dead is a 1990 psychological horror-Thriller film directed by Adam Simon. It stars Bill Pullman, Bill Paxton and George Kennedy.",--Bill Paxton--Bill Pullman--Bud Cort--George Kennedy,Brain Dead,1990 films-1990 horror films-1990s psychological thriller films-1990s science fiction horror films-American films-American science fiction horror films-English-language films-Films produced by Julie Corman-Films with screenplays by Charles Beaumont-Medical-themed films,na,Adam Simon,1600000.0,Adam Simon,http://dbpedia.org/resource/English_language
Leatherface: The Texas Chainsaw Massacre III,2609817,"Leatherface: The Texas Chainsaw Massacre III is a 1990 American slasher film directed by Jeff Burr and is the third installment of the Texas Chainsaw Massacre series. The film stars Kate Hodge, William Butler, Ken Foree, Tom Hudson, Viggo Mortensen, Joe Unger, and R.A. Mihailoff as Leatherface. The film follows Leatherface and his cannibalistic family stalking a motorist couple in the backroads of Texas.",--Joe Unger--Kate Hodge--Ken Foree--R.A. Mihailoff--Tom Hudson--Viggo Mortensen--William Butler,Leatherface: Texas Chainsaw Massacre 3 – Original Soundtrack,1990 horror films-Films scored by Jimmy Manzie,na,Jeff Burr,5700000.0,Jeff Burr,English
Nightbreed,1126777,"Nightbreed is a 1990 American dark fantasy horror film written and directed by Clive Barker, based on his 1988 novella Cabal. It stars Craig Sheffer, Anne Bobby, David Cronenberg, Charles Haid, Hugh Quarshie, and Doug Bradley. The film follows an unstable mental patient named Aaron Boone who is falsely led to believe by his doctor that he is a serial killer. Tracked down by the police, his doctor, and his girlfriend Lori, Boone eventually finds refuge in an abandoned cemetery called Midian among a tribe of monsters and outcasts known as the Nightbreed"" who hide from humanity.""",--Anne Bobby--Charles Haid--Craig Sheffer--David Cronenberg,Nightbreed,1990 films-1990 horror films-1990s fantasy films-1990s monster movies-20th Century Fox films-American fantasy films-American films-American monster movies-American serial killer films-American supernatural horror films-English-language films-Films adapted into comics-Films based on works by Clive Barker-Films directed by Clive Barker-Films produced by Joe Roth-Films scored by Danny Elfman-Films set in Canada-Films shot at Pinewood Studios-Films shot in Berkshire-Films shot in British Columbia-Films shot in Buckinghamshire-Films shot in Calgary-Films shot in Los Angeles-Morgan Creek Productions films,na,Clive Barker,1.6E7,Clive Barker,English
Bloodmoon (1990 film),36748669,"Bloodmoon is a 1990 Australian slasher film directed by Alec Mills and starring Leon Lissek, Christine Amor, Ian Williams, Helen Thomson, and Craig Cronin. It was featured in the documentary Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",Craig Cronin--Helen Thomson--Ian Williams--Christine Amor--Leon Lissek,Bloodmoon,1990 films-1990 horror films-Australian films-Australian horror films-Australian slasher films-English-language films-Films scored by Brian May (composer)-Films set in Brisbane-Films shot in Brisbane,na,na,419769.0,na,English
Slumber Party Massacre III,15279295,"Slumber Party Massacre III (also known as Captive Women in the Philippines) is a 1990 American slasher film directed by Sally Mattison and written by Catherine Cyran. It is the third and final installment in the original Slumber Party Massacre trilogy, and stars Keely Christian, Brittain Frye, M.K. Harris, David Greenlee, Hope Marie Carlton and Maria Ford. The film follows a group of teenage girls in California, whose slumber party is crashed by a masked killer.",--Brittain Frye--David Greenlee--Hope Marie Carlton--Keely Christian--M. K. Harris--Maria Ford,Slumber Party Massacre III,1990 directorial debut films-1990 films-1990 horror films-American films-American independent films-American slasher films-American teen horror films-Films about child sexual abuse-Films about mass murder-Films set in Los Angeles-Films shot in Los Angeles-Massacre (franchise),na,na,1200000.0,na,English
Fear (1990 film),13182925,"Fear is a 1990 American thriller/horror/suspense film. It is directed by Rockne S. O'Bannon and stars Ally Sheedy, Pruitt Taylor Vince, Michael O'Keefe, Lauren Hutton, Keone Young, Stan Shaw, , Don Hood and Jonathan Prince.",Ally Sheedy--Jonathan Prince--Keone Young--Lauren Hutton--Michael O'Keefe--Stan Shaw,Fear,1990 films-1990 horror films-1990s horror thriller films-1990s supernatural thriller films-American films-American horror thriller films-American supernatural horror films-Films about fear-Films scored by Henry Mancini-Films with screenplays by Rockne S. O'Bannon-Vestron Pictures films,Robert M. Stevens,Rockne S. O'Bannon,na,Rockne S. O'Bannon,English
Grim Prairie Tales,6768832,"Grim Prairie Tales is a 1990 American independent horror Western film, written and directed by Wayne Coe, and starring an ensemble cast including James Earl Jones, Brad Dourif, Will Hare, Marc McClure, William Atherton, and Lisa Eichhorn. It is an anthology film of four separate stories, told by two travellers around a prairie campfire. Morrison (Jones) is a grizzled bounty hunter carrying a body, while Farley Deeds (Dourif) is a clerk on the way to a romantic reunion with his wife.",Brad Dourif--James Earl Jones--Lisa Eichhorn--Marc McClure--Michelle Joyner--Will Hare--William Atherton,Grim Prairie Tales,1990 films-1990 horror films-1990s Western (genre) horror films-American Western (genre) horror films-American anthology films-American films-American horror anthology films-American supernatural horror films,Janusz Kamiński,Wayne Coe,na,Wayne Coe,English
Bride of Re-Animator,1336108,"Bride of Re-Animator is a 1990 American comedy horror film produced and directed by Brian Yuzna and written by Yuzna, Rick Fry, and Woody Keith. It is a sequel to the 1985 film Re-Animator and the second entry in the Re-Animator film series. Like its predecessor, it is loosely based on the serialized story Herbert West–Reanimator"" by H. P. Lovecraft.""",--Bruce Abbott--Claude Earl Jones--David Gale--Fabiana Udenio--Jeffrey Combs--Kathleen Kinmont,Bride of Re-Animator,1990s comedy horror films-American zombie comedy films-Re-Animator (film series),na,Brian Yuzna,na,Brian Yuzna,English
The German Chainsaw Massacre,62581237,"The German Chainsaw Massacre - The First Hour of the Reunification (German: Das deutsche Kettensägenmassaker), also known as Blackest Heart in the United States, is a 1990 German horror film written and directed by Christoph Schlingensief and starring Karina Fallenstein, Alfred Edel, Udo Kier and Irm Hermann. It is the second film in Schlingensief's Deutschlandtrilogie (German Trilogy).",--Alfred Edel--Artur Albrecht--Brigitte Kausch--Dietrich Kuhlbrodt--Helmut Kohl--Irm Hermann--Karina Fallenstein--Rainald Schnell--Susanne Bredehöft--Udo Kier--Volker Spengler,The German Chainsaw Massacre,1990 films-1990 horror films-German horror films-German reunification-Splatter films-West German films,na,Christoph Schlingensief,na,Christoph Schlingensief,German
Basket Case 2,4055526,"Basket Case 2 is a 1990 American comedy slasher film written and directed by Frank Henenlotter, and the sequel to Basket Case. It was released on DVD by Synapse Films in October 2007. The film spawned another sequel, Basket Case 3: The Progeny, released in 1991.",Kevin Van Hentenryck,Basket Case 2,1990 films-1990 horror films-American comedy horror films-American films-American monster movies-American sequel films-Films about twin brothers-Films directed by Frank Henenlotter-Films featuring puppetry-Films scored by Joe Renzetti-Parasitic twinning in culture,na,Frank Henenlotter,na,Frank Henenlotter,English
The Returning,40058026,The Returning is a 1990 Australia-New Zealand horror film directed by John Day.,Phillip Gordon,The Returning,1990 films-1990 horror films-Australian films-Australian horror films-English-language films,na,na,na,na,English
